pss ref	osm relation id
1-1-2	12150508
1-13-2	11314365
1-14-1	14288192
1-15-1	11334200
1-2-1	13906712
1-2-2	13913437
1-2-3	13916548
1-3-1	11317382
1-4-1	14906749
1-4-2	14911970
1-4-3	14912124
1-4-4	14916943
1-4-5	14921298
2-13-1	11076236
2-14-19	11073423
2-14-20	12433998
2-14-21	12434519
2-15-1	11066834
2-15-2	11069677
2-16-1	15002235
2-16-2	13185966
2-16-3	16857128
2-3-1	12086876
2-3-2	12091435
2-3-3	12094994
2-3-4	12098640
2-3-5	12102740
2-3-6	12107165
2-3-7	12111398
2-3-8	12111419
2-5-6	11043543
2-8-1	14989345
2-8-3	13938905
3-13-1	14274559
3-13-2	14274591
3-14-1	12452310
3-14-2	12452381
3-14-3	12456657
3-14-4	12456767
3-14-5	10886455
3-14-6	12464587
3-14-7	12481140
3-14-8	14041560
3-18-1	14274639
3-20-1	12525280
3-20-11	12726586
3-20-12	12721684
3-20-3	12726079
3-20-5	14124085
3-20-7	12525333
3-20-8	12721371
3-20-9	12721535
3-22-1	11046762
3-22-2	14280882
3-22-3	14280939
3-22-4	14280954
3-22-5	14281022
3-28-1	11189634
3-28-2	11189523
3-28-3	11189476
3-28-4	11189458
3-28-5	11189613
3-3-1	11129769
3-3-2	15005069
3-3-3	11128849
3-32-1	12918979
3-34-1	14041583
3-7-1	11059141
3-8-1	11046907
3-8-2	11049687
3-8-3	11046859
4-23-1	16782461
4-26-1	11095303
4-27-1	11102761
4-27-2	11097820
4-27-3	11097850
4-27-4	11097832
4-27-5	11098424
4-27-6	11098411
4-27-7	11097107
4-27-8	12899375
4-27-9	13922554
4-29-1	11105001
4-30-1	14281136
4-31-1	11072572
4-31-11	11313552
4-31-12	11232313
4-31-13	12902283
4-31-14	12902454
4-31-15	13933124
4-31-16	14405400
4-31-2	11232073
4-31-4	11313503
4-31-5	11232158
4-31-6	11185515
4-31-7	11189246
4-31-8	11192825
4-31-9	15015633
4-33-1	11260598
4-33-2	11313703
4-33-3	11305864
4-33-4	11310324
4-33-5	11313879
4-33-6	11260540
4-33-7	11260582
4-33-8	13190049
4-33-9	13190234
4-36-1	11182558
4-36-2	11169649
4-37-1	11105694
4-37-2	11126557
4-37-3	13190270
4-39-3	11263389
4-39-4	11263559
4-39-5	11286263
4-39-6	11286225
4-39-7	12115780
4-4-1	11043232
4-4-2	11043157
4-4-3	11038377
4-4-4	11512754
4-4-5	11515769
4-4-6	11515913
4-4-7	11515931
4-42-1	11164146
4-42-2	11166660
4-45-1	11126446
4-45-2	14281196
4-45-4	13191274
4-47-1	11297467
4-47-2	11294577
4-47-4	11301905
4-47-5	11301866
4-47-6	11289071
4-47-7	11289209
4-48-1	11038409
4-48-2	11038554
4-48-3	11038427
4-48-4	11038526
4-48-5	11518648
4-49-1	11038474
4-49-2	10808656
4-49-3	11132794
4-49-4	11518753
4-53-1	11092714
4-86-6	11518703
5-11-1	12167007
5-11-2	12173165
5-12-1	11338783
5-12-10	15699116
5-12-11	15711357
5-12-12	15720466
5-12-13	15731914
5-12-14	15745815
5-12-15	15772472
5-12-16	15777952
5-12-17	15786003
5-12-18	15790126
5-12-19	15793365
5-12-2	11349334
5-12-20	15796504
5-12-21	15801273
5-12-22	15817623
5-12-23	16861754
5-12-3	11349461
5-12-4	15628650
5-12-5	15632160
5-12-6	15632353
5-12-7	15640271
5-12-8	15671294
5-12-9	15688573
5-15-2	11478100
5-17-1	11214225
5-17-2	11489032
5-19-1	17610500
5-40-1	12185187
5-6-1	12154094
5-6-2	12163308
6-14-1	11163991
6-21-1	14283620
7-1-1	13935770
7-1-2	13936069
7-15-1	11258223
7-15-2	16861834
7-15-3	16861877
7-15-4	16864820
7-22-1	16865068
7-22-2	16865164
7-22-3	16865212
7-3-10	11263354
7-3-11	11282897
7-3-12	12185208
7-3-14	12204224
7-3-15	12204344
7-3-3	11220788
7-3-4	11221138
7-3-5	13191393
7-3-6	11258277
7-3-7	11263261
7-3-8	11216827
7-3-9	11216896
7-47-1	11263606
7-9-1	12485559
7-9-10	14287232
7-9-12	13190823
7-9-13	14287283
7-9-15	14287354
7-9-16	14998522
7-9-2	14287193
7-9-3	12485631
7-9-6	13190651
7-9-8	13190747
7-9-9	14287208
E4-1	14185952
E4-11	14206054
E4-2	14191834
E4-3	14192820
E4-4	14194463
E7-10-11	17610623
E7-12	11753312
E7-16	14185390
E7-8	14177412
E7-9	14180878
T-1-3	13145926
T-2-36	13244999
T-3-13	12190325
T-3-2	12693206
T-3-29	13237511
T-3-7	13237362
T-4-12	13239017
T-4-41	13239147
T-5-8	11499127
